LineRef;Station;Direction;Route;StopSeq
22015;de:07334:1738;R;Wörth - Pforzheim;1
22015;de:07334:1739;R;Wörth - Pforzheim;2
22015;de:07334:1736;R;Wörth - Pforzheim;3
22015;de:07334:1735;R;Wörth - Pforzheim;4
22015;de:07334:1734;R;Wörth - Pforzheim;5
22015;de:07334:1714;R;Wörth - Pforzheim;6
22015;de:07334:1731;R;Wörth - Pforzheim;7
22015;de:07334:1723;R;Wörth - Pforzheim;8
22015;de:07334:1721;R;Wörth - Pforzheim;9
22015;de:08212:1700;R;Wörth - Pforzheim;10
22015;de:08212:107;R;Wörth - Pforzheim;11
22015;de:08212:106;R;Wörth - Pforzheim;12
22015;de:08212:105;R;Wörth - Pforzheim;13
22015;de:08212:104;R;Wörth - Pforzheim;14
22015;de:08212:103;R;Wörth - Pforzheim;15
22015;de:08212:101;R;Wörth - Pforzheim;16
22015;de:08212:58;R;Wörth - Pforzheim;17
22015;de:08212:51;R;Wörth - Pforzheim;18
22015;de:08212:45;R;Wörth - Pforzheim;19
22015;de:08212:44;R;Wörth - Pforzheim;20
22015;de:08212:41;R;Wörth - Pforzheim;21
22015;de:08212:39;R;Wörth - Pforzheim;22
22015;de:08212:1004;R;Wörth - Pforzheim;23
22015;de:08212:1003;R;Wörth - Pforzheim;24
22015;de:08212:1002;R;Wörth - Pforzheim;25
22015;de:08212:1001;R;Wörth - Pforzheim;26
22015;de:08212:6;R;Wörth - Pforzheim;27
22015;de:08212:7;R;Wörth - Pforzheim;28
22015;de:08212:9;R;Wörth - Pforzheim;29
22015;de:08212:10;R;Wörth - Pforzheim;30
22015;de:08212:802;R;Wörth - Pforzheim;31
22015;de:08212:1510;R;Wörth - Pforzheim;32
22015;de:08212:1521;R;Wörth - Pforzheim;33
22015;de:08212:1525;R;Wörth - Pforzheim;34
22015;de:08212:1600;R;Wörth - Pforzheim;35
22015;de:08215:1601;R;Wörth - Pforzheim;36
22015;de:08215:2008;R;Wörth - Pforzheim;37
22015;de:08215:1634;R;Wörth - Pforzheim;38
22015;de:08215:1616;R;Wörth - Pforzheim;39
22015;de:08215:1617;R;Wörth - Pforzheim;40
22015;de:08215:1627;R;Wörth - Pforzheim;41
22015;de:08215:1619;R;Wörth - Pforzheim;42
22015;de:08236:1794;R;Wörth - Pforzheim;43
22015;de:08236:1793;R;Wörth - Pforzheim;44
22015;de:08236:1792;R;Wörth - Pforzheim;45
22015;de:08236:1795;R;Wörth - Pforzheim;46
22015;de:08236:1791;R;Wörth - Pforzheim;47
22015;de:08236:1717;R;Wörth - Pforzheim;48
22015;de:08231:50;R;Wörth - Pforzheim;49
